Date,Year,MonthNumber,Month,Quarter,YearMonth,MonthYear,Day,DayOfWeek,DayOfWeekNumber
2025-01-01,2025,1,January,Q1,2025-01,Jan 2025,1,Wednesday,3
2025-01-02,2025,1,January,Q1,2025-01,Jan 2025,2,Thursday,4
2025-01-03,2025,1,January,Q1,2025-01,Jan 2025,3,Friday,5
2025-01-04,2025,1,January,Q1,2025-01,Jan 2025,4,Saturday,6
2025-01-05,2025,1,January,Q1,2025-01,Jan 2025,5,Sunday,7
2025-01-06,2025,1,January,Q1,2025-01,Jan 2025,6,Monday,1
2025-01-07,2025,1,January,Q1,2025-01,Jan 2025,7,Tuesday,2
2025-01-08,2025,1,January,Q1,2025-01,Jan 2025,8,Wednesday,3
2025-01-09,2025,1,January,Q1,2025-01,Jan 2025,9,Thursday,4
2025-01-10,2025,1,January,Q1,2025-01,Jan 2025,10,Friday,5
2025-01-11,2025,1,January,Q1,2025-01,Jan 2025,11,Saturday,6
2025-01-12,2025,1,January,Q1,2025-01,Jan 2025,12,Sunday,7
2025-01-13,2025,1,January,Q1,2025-01,Jan 2025,13,Monday,1
2025-01-14,2025,1,January,Q1,2025-01,Jan 2025,14,Tuesday,2
2025-01-15,2025,1,January,Q1,2025-01,Jan 2025,15,Wednesday,3
2025-01-16,2025,1,January,Q1,2025-01,Jan 2025,16,Thursday,4
2025-01-17,2025,1,January,Q1,2025-01,Jan 2025,17,Friday,5
2025-01-18,2025,1,January,Q1,2025-01,Jan 2025,18,Saturday,6
2025-01-19,2025,1,January,Q1,2025-01,Jan 2025,19,Sunday,7
2025-01-20,2025,1,January,Q1,2025-01,Jan 2025,20,Monday,1
2025-01-21,2025,1,January,Q1,2025-01,Jan 2025,21,Tuesday,2
2025-01-22,2025,1,January,Q1,2025-01,Jan 2025,22,Wednesday,3
2025-01-23,2025,1,January,Q1,2025-01,Jan 2025,23,Thursday,4
2025-01-24,2025,1,January,Q1,2025-01,Jan 2025,24,Friday,5
2025-01-25,2025,1,January,Q1,2025-01,Jan 2025,25,Saturday,6
2025-01-26,2025,1,January,Q1,2025-01,Jan 2025,26,Sunday,7
2025-01-27,2025,1,January,Q1,2025-01,Jan 2025,27,Monday,1
2025-01-28,2025,1,January,Q1,2025-01,Jan 2025,28,Tuesday,2
2025-01-29,2025,1,January,Q1,2025-01,Jan 2025,29,Wednesday,3
2025-01-30,2025,1,January,Q1,2025-01,Jan 2025,30,Thursday,4
2025-01-31,2025,1,January,Q1,2025-01,Jan 2025,31,Friday,5
2025-02-01,2025,2,February,Q1,2025-02,Feb 2025,1,Saturday,6
2025-02-02,2025,2,February,Q1,2025-02,Feb 2025,2,Sunday,7
2025-02-03,2025,2,February,Q1,2025-02,Feb 2025,3,Monday,1
2025-02-04,2025,2,February,Q1,2025-02,Feb 2025,4,Tuesday,2
2025-02-05,2025,2,February,Q1,2025-02,Feb 2025,5,Wednesday,3
2025-02-06,2025,2,February,Q1,2025-02,Feb 2025,6,Thursday,4
2025-02-07,2025,2,February,Q1,2025-02,Feb 2025,7,Friday,5
2025-02-08,2025,2,February,Q1,2025-02,Feb 2025,8,Saturday,6
2025-02-09,2025,2,February,Q1,2025-02,Feb 2025,9,Sunday,7
2025-02-10,2025,2,February,Q1,2025-02,Feb 2025,10,Monday,1
2025-02-11,2025,2,February,Q1,2025-02,Feb 2025,11,Tuesday,2
2025-02-12,2025,2,February,Q1,2025-02,Feb 2025,12,Wednesday,3
2025-02-13,2025,2,February,Q1,2025-02,Feb 2025,13,Thursday,4
2025-02-14,2025,2,February,Q1,2025-02,Feb 2025,14,Friday,5
2025-02-15,2025,2,February,Q1,2025-02,Feb 2025,15,Saturday,6
2025-02-16,2025,2,February,Q1,2025-02,Feb 2025,16,Sunday,7
2025-02-17,2025,2,February,Q1,2025-02,Feb 2025,17,Monday,1
2025-02-18,2025,2,February,Q1,2025-02,Feb 2025,18,Tuesday,2
2025-02-19,2025,2,February,Q1,2025-02,Feb 2025,19,Wednesday,3
2025-02-20,2025,2,February,Q1,2025-02,Feb 2025,20,Thursday,4
2025-02-21,2025,2,February,Q1,2025-02,Feb 2025,21,Friday,5
2025-02-22,2025,2,February,Q1,2025-02,Feb 2025,22,Saturday,6
2025-02-23,2025,2,February,Q1,2025-02,Feb 2025,23,Sunday,7
2025-02-24,2025,2,February,Q1,2025-02,Feb 2025,24,Monday,1
2025-02-25,2025,2,February,Q1,2025-02,Feb 2025,25,Tuesday,2
2025-02-26,2025,2,February,Q1,2025-02,Feb 2025,26,Wednesday,3
2025-02-27,2025,2,February,Q1,2025-02,Feb 2025,27,Thursday,4
2025-02-28,2025,2,February,Q1,2025-02,Feb 2025,28,Friday,5
2025-03-01,2025,3,March,Q1,2025-03,Mar 2025,1,Saturday,6
2025-03-02,2025,3,March,Q1,2025-03,Mar 2025,2,Sunday,7
2025-03-03,2025,3,March,Q1,2025-03,Mar 2025,3,Monday,1
