YearMonthKey,Year,MonthNumber,Month,MonthShort,YearMonth,MonthYear
202501,2025,1,January,Jan,2025-01,Jan 2025
202502,2025,2,February,Feb,2025-02,Feb 2025
202503,2025,3,March,Mar,2025-03,Mar 2025
202504,2025,4,April,Apr,2025-04,Apr 2025
202505,2025,5,May,May,2025-05,May 2025
202506,2025,6,June,Jun,2025-06,Jun 2025
202507,2025,7,July,Jul,2025-07,Jul 2025
202508,2025,8,August,Aug,2025-08,Aug 2025
202509,2025,9,September,Sep,2025-09,Sep 2025
202510,2025,10,October,Oct,2025-10,Oct 2025
202511,2025,11,November,Nov,2025-11,Nov 2025
202512,2025,12,December,Dec,2025-12,Dec 2025
