OrderID,Date,RegionID,CustomerID,ProductID,Quantity,UnitPrice,DiscountPct,UnitCost
50001,2025-01-01,1,1001,101,1,1299.0,0.0,714.45
50002,2025-01-01,3,1002,104,2,39.0,0.05,21.45
50003,2025-01-01,1,1003,107,3,29.0,0.1,15.95
50004,2025-01-02,2,1004,106,2,249.0,0.05,151.89
50005,2025-01-02,4,1005,109,3,349.0,0.1,212.89
50006,2025-01-03,3,1007,111,3,899.0,0.1,521.42
50007,2025-01-03,1,1008,102,4,999.0,0.15,579.42
50008,2025-01-04,4,1010,104,4,39.0,0.15,21.45
50009,2025-01-04,2,1011,107,5,29.0,0.0,15.95
50010,2025-01-05,1,1013,109,5,349.0,0.0,212.89
50011,2025-01-05,3,1014,112,1,49.0,0.05,29.89
50012,2025-01-05,1,1015,103,2,79.0,0.1,48.19
50013,2025-01-06,2,1001,102,1,999.0,0.05,579.42
50014,2025-01-06,4,1002,105,2,329.0,0.1,190.82
50015,2025-01-07,3,1004,107,2,29.0,0.1,15.95
50016,2025-01-07,1,1005,110,3,199.0,0.15,109.45
50017,2025-01-08,4,1007,112,3,49.0,0.15,29.89
50018,2025-01-08,2,1008,103,4,79.0,0.0,48.19
50019,2025-01-09,1,1010,105,4,329.0,0.0,190.82
50020,2025-01-09,3,1011,108,5,599.0,0.05,347.42
50021,2025-01-09,1,1012,111,1,899.0,0.1,521.42
50022,2025-01-10,2,1013,110,5,199.0,0.05,109.45
50023,2025-01-10,4,1014,101,1,1299.0,0.1,714.45
50024,2025-01-11,3,1001,103,1,79.0,0.1,48.19
50025,2025-01-11,1,1002,106,2,249.0,0.15,151.89
50026,2025-01-12,4,1004,108,2,599.0,0.15,347.42
50027,2025-01-12,2,1005,111,3,899.0,0.0,521.42
50028,2025-01-13,1,1007,101,3,1299.0,0.0,714.45
50029,2025-01-13,3,1008,104,4,39.0,0.05,21.45
50030,2025-01-13,1,1009,107,5,29.0,0.1,15.95
50031,2025-01-14,2,1010,106,4,249.0,0.05,151.89
50032,2025-01-14,4,1011,109,5,349.0,0.1,212.89
50033,2025-01-15,3,1013,111,5,899.0,0.1,521.42
50034,2025-01-15,1,1014,102,1,999.0,0.15,579.42
50035,2025-01-16,4,1001,104,1,39.0,0.15,21.45
50036,2025-01-16,2,1002,107,2,29.0,0.0,15.95
50037,2025-01-17,1,1004,109,2,349.0,0.0,212.89
